RegionType,Name,2008_Avg,2009_Avg,2010_Avg,2011_Avg,2012_Avg,2013_Avg,2014_Avg,2015_Avg,2016_Avg,2017_Avg,2018_Avg,2019_Avg,2020_Avg,2021_Avg
MetroArea,"Austin-Round Rock, TX",4.066666667,5.366666667,5.575,4.983333333,4.708333333,3.708333333,2.941666667,2.391666667,2.2,2.091666667,2.05,1.983333333,1.241666667,0.766666667
MetroArea,"Bakersfield, CA",8.025,12.63333333,12.26666667,8.766666667,7.133333333,5.583333333,4.558333333,4.216666667,4.308333333,3.9,3.416666667,3.275,2.1,1.4
MetroArea,"Baltimore-Columbia-Towson, MD",5.25,7.958333333,8.483333333,8.4,8.491666667,7.233333333,5.966666667,5.183333333,4.433333333,4.016666667,3.725,3.4,2.175,1.633333333
MetroArea,"Bangor, ME",5.35,6.208333333,6.95,6.9,7.35,7.191666667,6.641666667,6.591666667,6.091666667,5.608333333,4.075,3.275,2.116666667,1.5
MetroArea,"Barnstable Town, MA",4.058333333,5.691666667,5.8,5.516666667,5.65,4.5,3.9,3.391666667,2.991666667,2.7,2.266666667,2.041666667,1.35,1.033333333
MetroArea,"Baton Rouge, LA",5.516666667,7.133333333,8.458333333,8,7.75,7,6.183333333,5.625,5.325,5.1,5.583333333,5.591666667,3.341666667,2.1
MetroArea,"Beaumont-Port Arthur, TX",5.791666667,6.816666667,7.308333333,7.683333333,7.616666667,7.041666667,6.025,5.666666667,5.558333333,5.008333333,4.333333333,4.441666667,2.883333333,1.7
MetroArea,"Bellingham, WA",2.491666667,3.675,3.825,3.908333333,4.133333333,3.291666667,2.891666667,1.825,1.741666667,1.433333333,1.075,1.008333333,0.825,0.766666667
MetroArea,"Bend-Redmond, OR",3.6,7.608333333,7.425,6.975,6.433333333,3.658333333,2.091666667,2.091666667,1.583333333,0.891666667,0.741666667,0.975,0.516666667,0.2
MetroArea,"Billings, MT",2.466666667,3.533333333,3.583333333,3.683333333,3.4,3.025,2.708333333,2.733333333,2.833333333,2.666666667,2.4,2.15,1.591666667,1.133333333
MetroArea,"Binghamton, NY",3.633333333,3.65,4.541666667,4.708333333,5.175,5.225,4.45,4.525,3.908333333,3.7,3.116666667,2.983333333,1.825,1.5
MetroArea,"Birmingham-Hoover, AL",6.516666667,8.683333333,9.2,7.883333333,7.75,6.833333333,6.025,5.275,4.85,4.533333333,4.25,3.983333333,2.625,2.066666667
MetroArea,"Bismarck, ND",1.766666667,1.966666667,2.6,1.991666667,1.491666667,1.2,0.975,0.75,1.283333333,1.35,1.2,1.15,1.033333333,0.8
MetroArea,"Bloomington, IL",3.558333333,4.566666667,4.5,4.358333333,4.091666667,3.45,3.05,2.791666667,2.783333333,3.066666667,2.441666667,2.7,2.05,1.6
MetroArea,"Bloomington, IN",3.6,4.683333333,4.083333333,3.858333333,3.85,3.9,4.033333333,3.291666667,3.383333333,3.191666667,2.616666667,2.008333333,1.05,0.7
MetroArea,"Boise City, ID",3.991666667,7.175,7.125,5.733333333,4.816666667,3.458333333,2.533333333,2.333333333,1.983333333,1.991666667,1.7,1.741666667,1.108333333,0.7
MetroArea,"Boston-Cambridge-Newton, MA-NH",4.35,6.033333333,6.283333333,5.716666667,5.416666667,4.741666667,4.116666667,3.458333333,2.833333333,2.508333333,2.208333333,1.933333333,1.291666667,0.866666667
MetroArea,"Boulder, CO",1.908333333,2.691666667,2.575,2.333333333,2.016666667,1.616666667,1.083333333,0.966666667,0.633333333,0.65,0.625,0.575,0.341666667,0.333333333
MetroArea,"Bremerton-Silverdale, WA",2.833333333,4.575,5.491666667,5.608333333,6.075,4.658333333,3.291666667,2.916666667,2.008333333,1.691666667,1.341666667,1.066666667,0.6,0.4
MetroArea,"Bridgeport-Stamford-Norwalk, CT",3.708333333,6.291666667,7.066666667,6.95,6.766666667,5.658333333,4.983333333,4.825,3.916666667,3.35,2.908333333,2.616666667,1.841666667,1.133333333
MetroArea,"Brownsville-Harlingen, TX",7.058333333,8.833333333,9.225,8.683333333,8.75,7.866666667,7.25,6.633333333,6.533333333,6.683333333,6.366666667,5.041666667,3.541666667,1.733333333
MetroArea,"Buffalo-Cheektowaga-Niagara Falls, NY",4.275,5.2,5.416666667,5.175,5.541666667,5.541666667,4.85,4.283333333,4.016666667,3.725,3.316666667,3,1.975,1.633333333
MetroArea,"Burlington, NC",6.033333333,8.508333333,9.291666667,9,8.858333333,7.916666667,6.641666667,5.425,4.416666667,3.816666667,3.716666667,3.833333333,2.716666667,2.2
MetroArea,"Burlington-South Burlington, VT",2.675,3.858333333,3.541666667,3.75,3.841666667,3.25,2.65,2.258333333,2.4,2.166666667,1.933333333,1.733333333,1.416666667,1.133333333
MetroArea,"California-Lexington Park, MD",4.2,5.966666667,6.908333333,6.241666667,6.325,5.908333333,4.741666667,3.916666667,3.658333333,2.541666667,2.666666667,2.683333333,1.891666667,1.133333333
MetroArea,"Canton-Massillon, OH",5.116666667,6.608333333,6.483333333,6.225,6.15,5.466666667,4.65,4.066666667,3.833333333,3.791666667,2.783333333,2.675,2.075,1.633333333
MetroArea,"Cape Coral-Fort Myers, FL",10.03333333,13.29166667,11.98333333,11.05,9.983333333,6.75,4.575,3.216666667,2.583333333,2.025,1.933333333,2.125,1.483333333,1.166666667
MetroArea,"Cedar Rapids, IA",3.391666667,3.841666667,3.783333333,3.2,3.091666667,3.108333333,2.916666667,2.375,2.291666667,2.575,2.291666667,2.55,1.675,1.266666667
MetroArea,"Chambersburg-Waynesboro, PA",3.891666667,5.575,6.916666667,6.241666667,5.741666667,5.35,5.075,4.091666667,4.133333333,3.683333333,3.466666667,3.658333333,2.391666667,1.666666667
MetroArea,"Champaign-Urbana, IL",3.308333333,4.191666667,3.975,4.291666667,3.975,2.975,2.933333333,2.458333333,2.391666667,2.366666667,2.466666667,2.516666667,2.125,1.666666667
